SCRAM,WEEK,EST_ST,EST_MSA,PWEIGHT,TBIRTH_YEAR,ABIRTH_YEAR,EGENDER,AGENDER,RHISPANIC,AHISPANIC,RRACE,ARACE,EEDUC,AEDUC,MS,THHLD_NUMPER,AHHLD_NUMPER,THHLD_NUMKID,AHHLD_NUMKID,THHLD_NUMADLT,WRKLOSS,EXPCTLOSS,ANYWORK,KINDWORK,RSNNOWRK,UNEMPPAY,PRIFOODSUF,CURFOODSUF,FOODSUFRSN1,FOODSUFRSN2,FOODSUFRSN3,FOODSUFRSN4,FOODSUFRSN5,FREEFOOD,WHEREFREE1,WHEREFREE2,WHEREFREE3,WHEREFREE4,WHEREFREE5,WHEREFREE6,WHEREFREE7,TSPNDFOOD,TSPNDPRPD,FOODCONF,HLTHSTATUS,ANXIOUS,WORRY,INTEREST,DOWN,HLTHINS1,HLTHINS2,HLTHINS3,HLTHINS4,HLTHINS5,HLTHINS6,HLTHINS7,HLTHINS8,DELAY,NOTGET,TENURE,MORTLMTH,MORTCONF,ENROLL1,ENROLL2,ENROLL3,TEACH1,TEACH2,TEACH3,TEACH4,TEACH5,COMPAVAIL,COMP1,COMP2,COMP3,INTRNTAVAIL,INTRNT1,INTRNT2,INTRNT3,TSCHLHRS,TTCH_HRS,INCOME,female,internet_access
V010000001S10011099370111,1,47,NA,1973.489532,1986,2,2,2,1,2,1,2,6,2,1,4,2,2,2,2,2,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,100,60,3,2,4,3,1,1,1,2,2,2,2,2,2,2,2,2,3,1,4,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,2,4,4,1,1
V010000001S10011900470112,1,01,NA,1929.4884192,1955,2,1,2,1,2,1,2,4,2,3,1,2,0,2,1,2,2,2,NA,6,4,3,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,30,0,2,4,3,4,4,4,2,2,1,2,2,2,2,NA,1,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
V010000001S18010744940111,1,26,NA,1526.6123798,1976,2,2,2,1,2,4,2,6,2,1,2,2,0,2,2,2,2,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,150,50,4,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,0
V010000001S37010301340112,1,01,NA,2734.6353537,1964,2,1,2,1,2,1,2,4,2,3,2,2,0,2,2,1,1,2,NA,8,4,1,2,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,100,100,2,5,4,4,4,4,2,2,2,2,2,2,2,1,1,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
V010000001S37010480340111,1,01,NA,681.21142486,1963,2,2,2,1,2,1,2,7,2,5,1,2,0,2,1,2,2,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,150,15,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000001S37010662140111,1,01,NA,1775.9499778,1976,2,2,2,1,2,1,2,7,2,1,2,2,0,2,2,2,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,300,100,3,2,3,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0
V010000001S51010245800111,1,01,NA,1647.0939083,1983,2,2,2,1,2,2,2,7,2,1,2,2,0,2,2,1,1,2,NA,9,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,150,25,3,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000001S71011275880113,1,01,NA,1381.4479525,1961,2,1,2,1,2,1,2,6,2,1,2,2,0,2,2,2,2,1,2,NA,NA,2,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,100,150,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0
V010000001S74010793020113,1,01,NA,4402.5867424,1969,2,2,2,1,2,2,2,1,2,5,2,2,0,2,2,2,2,2,NA,6,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,328,200,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
V010000001S77010766740113,1,01,NA,4627.6784454,1991,2,2,2,1,2,1,2,5,2,1,4,2,2,2,2,1,2,2,NA,4,2,2,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,160,60,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,4,20,3,1,1
