id,country,income
1,Country B,5402.53
2,Country B,5290.71
3,Country B,14842.63
4,Country B,5876.7
5,Country B,7353.27
6,Country B,8842.62
7,Country B,6522.69
8,Country B,28584.81
9,Country B,7204.66
10,Country B,6775.55
11,Country B,9864.67
12,Country B,6660.31
13,Country B,5302.54
14,Country B,16382.78
15,Country B,9780.17
16,Country B,5276.32
17,Country B,5096.64
18,Country B,32186.47
19,Country B,9552.31
20,Country B,8273.94
21,Country B,5458.47
22,Country B,27858.82
23,Country B,5048.8
24,Country B,5244.06
25,Country B,43799.58
26,Country B,8915.61
27,Country B,11333.63
28,Country B,5449.53
29,Country B,10071.08
30,Country B,5842.72
31,Country B,6514.94
32,Country B,5998.69
33,Country B,11386.81
34,Country B,6946.31
35,Country B,615239.81
36,Country B,5861.55
37,Country B,359077.13
38,Country B,19614.54
39,Country B,5445.02
40,Country B,7665.49
41,Country B,11609.51
42,Country B,10295.75
43,Country B,87023.79
44,Country B,5117.96
45,Country B,10379.06
46,Country B,5192.07
47,Country B,5545.4
48,Country B,7370.92
49,Country B,5129.76
50,Country B,7589.4
51,Country B,12994.26
52,Country B,12559.07
53,Country B,11128.52
54,Country B,6173.56
55,Country B,84090.45
56,Country B,6430.13
57,Country B,7016.65
58,Country B,23192.45
59,Country B,16073.55
60,Country B,8912.57
61,Country B,7031.73
62,Country B,5075.93
63,Country B,6350.92
64,Country B,8195.71
65,Country B,5760.8
66,Country B,21241.63
67,Country B,15546.8
68,Country B,5890.82
69,Country B,6876.24
70,Country B,17260.79
71,Country B,77153.69
72,Country B,27553.53
73,Country B,18924.86
74,Country B,9476
75,Country B,20497.07
76,Country B,6658.35
77,Country B,337171.3
78,Country B,11718.84
79,Country B,8912.65
80,Country B,1371465.37
81,Country B,8010.17
82,Country B,24889.52
83,Country B,12184.69
84,Country B,7314.77
85,Country B,6234.88
86,Country B,8231.63
87,Country B,17699.33
88,Country B,40588.79
89,Country B,42383.86
90,Country B,14032.49
91,Country B,7106.61
92,Country B,7052655.51
93,Country B,19540.02
94,Country B,5310.63
95,Country B,5347.48
96,Country B,6541.95
97,Country B,13006.31
98,Country B,8902.79
99,Country B,6466.34
100,Country B,7585.98
101,Country B,7511.28
102,Country B,18866.32
103,Country B,18911.04
104,Country B,11365.51
105,Country B,5264.44
106,Country B,5168.47
107,Country B,6497.64
108,Country B,6548.54
109,Country B,8602.94
110,Country B,994454.29
111,Country B,7696.59
112,Country B,5837.88
113,Country B,6409.83
114,Country B,9959.53
115,Country B,8602.54
116,Country B,8580.45
117,Country B,1533913.56
118,Country B,12284.8
119,Country B,7661.63
120,Country B,5885.98
121,Country B,12253.17
122,Country B,10841.64
123,Country B,8108.8
124,Country B,7914.71
125,Country B,6655.93
126,Country B,11214.53
127,Country B,5380.04
128,Country B,5168.64
129,Country B,17711.19
130,Country B,6617.24
131,Country B,5460.56
132,Country B,7757.14
133,Country B,7456.83
134,Country B,5289.19
135,Country B,5756.13
136,Country B,8031.59
137,Country B,5932.92
138,Country B,33112.05
139,Country B,6315.05
140,Country B,7538.84
141,Country B,26262.96
142,Country B,44828.93
143,Country B,9747.6
144,Country B,6210.22
145,Country B,6546.35
146,Country B,5959.26
147,Country B,23322.98
148,Country B,5253.46
149,Country B,14513.1
150,Country B,26167.12
151,Country B,6658.17
152,Country B,13319.34
153,Country B,6214.09
154,Country B,11227.68
155,Country B,7004.82
156,Country B,6234.87
157,Country B,21399.33
158,Country B,108367.56
159,Country B,28392.92
160,Country B,6990.74
161,Country B,5301.79
162,Country B,8402.38
163,Country B,7776.28
164,Country B,20534.69
165,Country B,8610.28
166,Country B,22258.32
167,Country B,9975.73
168,Country B,13575.88
169,Country B,32502.49
170,Country B,21575.89
171,Country B,6575.96
172,Country B,10813.33
173,Country B,10763.86
174,Country B,9460.36
175,Country B,10468.87
176,Country B,28252.39
177,Country B,5912.42
178,Country B,7884.19
179,Country B,6107.93
180,Country B,6282.73
181,Country B,5385.89
182,Country B,5685.58
183,Country B,13578.79
184,Country B,16172.02
185,Country B,6479.28
186,Country B,6440.85
187,Country B,5386.67
188,Country B,6116
189,Country B,28833.9
190,Country B,14770.38
191,Country B,20747.17
192,Country B,6177.55
193,Country B,29699.2
194,Country B,29655.75
195,Country B,49121.16
196,Country B,64176.18
197,Country B,8657.59
198,Country B,33473.34
199,Country B,6472.29
200,Country B,6563.56
201,Country B,5559.76
202,Country B,8872.12
203,Country B,5747.62
204,Country B,10153.57
