x,country
10,Country A
10,Country A
10,Country A
10,Country A
10,Country A
10,Country A
10,Country A
20,Country A
20,Country A
20,Country A
20,Country A
20,Country A
20,Country A
20,Country A
20,Country A
30,Country A
30,Country A
30,Country A
30,Country A
30,Country A
30,Country A
30,Country A
30,Country A
30,Country A
50,Country A
50,Country A
50,Country A
50,Country A
50,Country A
70,Country A
70,Country A
70,Country A
70,Country A
70,Country A
70,Country A
70,Country A
100,Country A
100,Country A
100,Country A
200,Country A
200,Country A
200,Country A
500,Country A
500,Country A
500,Country A
500,Country A
500,Country A
1000,Country A
1000,Country A
1000,Country A
50,Country B
50,Country B
50,Country B
40,Country B
40,Country B
40,Country B
40,Country B
40,Country B
40,Country B
40,Country B
100,Country B
100,Country B
100,Country B
80,Country B
80,Country B
80,Country B
80,Country B
80,Country B
80,Country B
80,Country B
175,Country B
175,Country B
175,Country B
175,Country B
200,Country B
200,Country B
200,Country B
250,Country B
250,Country B
250,Country B
120,Country B
120,Country B
120,Country B
120,Country B
120,Country B
120,Country B
120,Country B
120,Country B
120,Country B
120,Country B
30,Country B
30,Country B
30,Country B
30,Country B
30,Country B
30,Country B
25,Country B
25,Country B
25,Country B
25,Country B
